filename,text_file,word_count,char_count,category
section-3.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/section-3.txt,251,1744,Unknown
introduction%20and%20faqs.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/introduction%20and%20faqs.txt,744,4993,Unknown
Leadership-Award-Nomination-Form-2023-AODA.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Leadership-Award-Nomination-Form-2023-AODA.txt,417,3094,Unknown
floor_1_193_king_st_e.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/floor_1_193_king_st_e.txt,13,92,Unknown
bomb_threat_form.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/bomb_threat_form.txt,147,1840,Unknown
Revising%20and%20Proofreading%20-%20Reference.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Revising%20and%20Proofreading%20-%20Reference.txt,925,5096,Unknown
Assessment%20Request%20to%20Write%20Off-Site.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Assessment%20Request%20to%20Write%20Off-Site.txt,219,1360,Unknown
non-academic_policies_and_complaint_resolution.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/non-academic_policies_and_complaint_resolution.txt,1725,11149,Unknown
handling-incidents-of-expressed-bias-and-discrimination-policy.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/handling-incidents-of-expressed-bias-and-discrimination-policy.txt,1096,7150,Unknown
GBC-Strategy2026v43.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/GBC-Strategy2026v43.txt,8319,58634,Unknown
UserGuide_Flywire.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/UserGuide_Flywire.txt,898,5317,Unknown
ad.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/ad.txt,1217,8256,Unknown
expression-of-educational-concerns-and-complaints-policy.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/expression-of-educational-concerns-and-complaints-policy.txt,2762,23576,Unknown
grading_scheme_june8_2022.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/grading_scheme_june8_2022.txt,619,3696,Unknown
Proofreading%20for%20sentence%20structure%20-%20Ref%20-%20Prac.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Proofreading%20for%20sentence%20structure%20-%20Ref%20-%20Prac.txt,755,4375,Unknown
25_Layal_Upskilling_NP_GBC-FinalforPrint-AODA.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/25_Layal_Upskilling_NP_GBC-FinalforPrint-AODA.txt,1082,7331,Unknown
Topic%20Sentences-Practice.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Topic%20Sentences-Practice.txt,597,3585,Unknown
Apothecary%20Household%20and%20Metric%20Systems%20of%20Measurement.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Apothecary%20Household%20and%20Metric%20Systems%20of%20Measurement.txt,1226,6172,Unknown
brief_student_mobility_sept2011.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/brief_student_mobility_sept2011.txt,892,6117,Unknown
gbcstudentemail.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/gbcstudentemail.txt,815,5495,Unknown
george_brown_annual_report_2013-2014.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/george_brown_annual_report_2013-2014.txt,4677,30771,Unknown
danforth-summer-swac-newsletter-2016.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/danforth-summer-swac-newsletter-2016.txt,250,1620,Unknown
section-2.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/section-2.txt,199,1343,Unknown
Proofreading%20Articles.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Proofreading%20Articles.txt,660,4088,Unknown
assessment-of-student-learning-policy.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/assessment-of-student-learning-policy.txt,2201,15957,Unknown
george_brown_college_foundation_fs_2013.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/george_brown_college_foundation_fs_2013.txt,3765,25758,Unknown
Emerging-Researcher-Award-Nomination-Form-2023-AODA_0.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Emerging-Researcher-Award-Nomination-Form-2023-AODA_0.txt,437,3346,Unknown
llc.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/llc.txt,2326,14857,Unknown
Outline%20Template%20-%20Compare%20and%20Contrast%20Block%20Essay.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Outline%20Template%20-%20Compare%20and%20Contrast%20Block%20Essay.txt,184,1662,Unknown
photo-policy.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/photo-policy.txt,142,887,Unknown
minutes_for_december_04_2013.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/minutes_for_december_04_2013.txt,2341,14859,Unknown
more-than-you-expect.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/more-than-you-expect.txt,3163,25440,Unknown
2014-summer.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/2014-summer.txt,401,2528,Unknown
international_travel_policy_for_students.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/international_travel_policy_for_students.txt,2191,14981,Unknown
bog_public_minutes_16dec14.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/bog_public_minutes_16dec14.txt,1937,12391,Unknown
annual-financial-statement-2007-2008.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/annual-financial-statement-2007-2008.txt,5142,35226,Unknown
health-policies.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/health-policies.txt,799,4795,Unknown
Black%20Lives%20Matter%20-%20A%20Booklist_0.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Black%20Lives%20Matter%20-%20A%20Booklist_0.txt,239,1279,Unknown
Adding_and_Subtracting_Proper_Fractions.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Adding_and_Subtracting_Proper_Fractions.txt,1518,6975,Unknown
Thesis%20Statements%20and%20Topic%20Sentences%20Reference.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Thesis%20Statements%20and%20Topic%20Sentences%20Reference.txt,635,3731,Unknown
labour-fair-2020-fact-sheet.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/labour-fair-2020-fact-sheet.txt,1016,6227,Unknown
Commas%20-%20reference.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Commas%20-%20reference.txt,485,2932,Unknown
promotion-progression-policy.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/promotion-progression-policy.txt,2964,21365,Unknown
me.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/me.txt,937,6069,Unknown
gbc-aoda-accessibility-policy.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/gbc-aoda-accessibility-policy.txt,10349,69836,Unknown
IV%20Administration%20Calculations.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/IV%20Administration%20Calculations.txt,387,2291,Unknown
intellectual_property_policy.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/intellectual_property_policy.txt,3647,24414,Unknown
Foundation%20Statement%20of%20financial%20position%20as%20of%20March%2031%2C%202017.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Foundation%20Statement%20of%20financial%20position%20as%20of%20March%2031%2C%202017.txt,3723,25440,Unknown
section-1.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/section-1.txt,228,1634,Unknown
audited-financial-statement-2013-2014.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/audited-financial-statement-2013-2014.txt,8085,53254,Unknown
bog_public_minutes_16feb10.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/bog_public_minutes_16feb10.txt,902,5452,Unknown
annual-financial-statement-2009-2010.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/annual-financial-statement-2009-2010.txt,5451,37131,Unknown
bog_public_minutes_october10_2018.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/bog_public_minutes_october10_2018.txt,1165,7392,Unknown
section-5.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/section-5.txt,222,1450,Unknown
credit-card-authorization-form.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/credit-card-authorization-form.txt,205,1425,Unknown
george_brown_annual_report_2012-2013.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/george_brown_annual_report_2012-2013.txt,4932,31883,Unknown
retention%20chart%20%28version%202%29.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/retention%20chart%20%28version%202%29.txt,17540,118372,Unknown
Dealing%20with%20Math%20Anxiety.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Dealing%20with%20Math%20Anxiety.txt,798,4825,Unknown
lr.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/lr.txt,1962,12933,Unknown
t4a_guide_Sep2023.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/t4a_guide_Sep2023.txt,451,2781,Unknown
annual_reb_report_2009.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/annual_reb_report_2009.txt,2449,16113,Unknown
direct_borrower_agreement.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/direct_borrower_agreement.txt,359,2317,Unknown
2010-11-annual-financial-statement.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/2010-11-annual-financial-statement.txt,5609,39072,Unknown
bog-public-minutes_apr-09-14.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/bog-public-minutes_apr-09-14.txt,1645,10331,Unknown
george_brown_college_aoda_policy.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/george_brown_college_aoda_policy.txt,10342,69864,Unknown
Backflow-Registration-Letter-and-Map.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Backflow-Registration-Letter-and-Map.txt,359,1638,Unknown
bog_public_minutes_15june3.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/bog_public_minutes_15june3.txt,2377,15033,Unknown
annual_reb_report_2008.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/annual_reb_report_2008.txt,2216,14575,Unknown
bog_public_minutes_june6-2018.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/bog_public_minutes_june6-2018.txt,2335,14753,Unknown
Coterminal%20angles.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/Coterminal%20angles.txt,336,1776,Unknown
GBC%20HTF%20Progress%20Oct%202023%20v3%20AODA.pdf,/Users/birajgtm/Documents/GBC/AI/DL1/AskGeorge/clean_text/GBC%20HTF%20Progress%20Oct%202023%20v3%20AODA.txt,3155,20134,Unknown
